"Reviews of ","Opinioni "
"Average Rating : ","Voto medio:"
"Read","Leggi "
"Review","Commenta "
"Have you used this product?","Hai usato questo prodotto?"
"Rate it now","Votala ora"
"Write Your Review","Scrivi il tuo commento"
"Most Accepted Reviews","Più accreditata Recensioni"
"Permalink","Permalink"
"Report Abuse","segnalare un abuso"
"Yes","Sì"
"No","non"
"Be the first to review this product","Sii il primo a recensire il prodotto"
"Amaze Reviews and Ratings","Amaze Recensioni e voti"
"Helpful Reviews Report","Utili Commenti Segnala"
"Review ID","recensione ID"
"Review Title","Titolo"
"Reviewer Name","Revisore Nome"
"Helpful Yes Count","Utile Sì Conteggio"
"Helpful No Count","Nessun utile Conte"
"Product Name","Nome del prodotto"
"Product SKU","prodotto Codice"
"Helpful Reviews List","Utile Recensioni List"
"Helpful Vote","voto utile"
"Voter Name","elettore Nome"
"Voted On","Ha votato"
"Abused Reviews Report","Abused Commenti Segnala"
"Abuse count","conte abuso"
"Pending count","In attesa di conte"
"Accepted count","conte accettate"
"Denied count","conte Denied"
"Abuse Action","Azione abuso"
"Abused Reviews List","Abused Recensioni List"
"Reported On","segnalato su"
"Reporter Comments","Reporter Commenti"
"Reporter Name","Nome del Reporter"
"Email","email"
"View","Visualizza"
"Module Configuration","Configurazione del modulo"
"Facebook API","API di Facebook"
"Facebook App Id","Facebook App Id"
"Facebook Secret Key","Facebook Segreto chiave"
"Please Enter facebook app id","Inserisci facebook app id"
"Please Enter facebook app secret key","Inserisci facebook app chiave segreta"
"Google API","API di Google"
"Recently Reviewed Sideblock","Recensioni recenti su Sideblock"
"Display Sideblock in Left","Visualizzare Sideblock a sinistra"
"Display Sideblock in Right","Visualizzazione Sideblock in Diritto"
"Review Words Count","Recensione le parole contano"
"Reviews Count","recensioni Conte"
"Review Title Words Count","Recensione Titolo Parole Conte"
"To enable the sideblock for Recently added review","Per abilitare la sideblock per Recently added recensione"
"Select 'Yes'to display Recently Reviewed Sideblock in left","Selezionare 'Yes'to visualizzare recenti su Sideblock a sinistra"
"Select 'Yes'to display Recently Reviewed Sideblock in right","Selezionare 'Yes'to visualizzare recenti su Sideblock a destra"
"Set to zero to show full review text","Impostare a zero per mostrare il testo opinione completa"
"Set to zero to show all reviews","Impostare a zero per mostrare tutte le recensioni"
"Delete Reviews","Elimina recensioni"
"Allow reviewer to Delete his/her own review","Lasciare recensore per annullarla / la sua recensione"
"Rating Bar Color","Giudizio Bar Colore"
"Select Rating Bar Color","Selezionare Giudizio Bar Colore"
"Default color is green","Colore predefinito è verde"
"Thanks for your vote!","Grazie per il tuo voto!"
"Thanks for Reporting!","Grazie per la segnalazione!"
"of","di"
"users found this review helpful","utenti hanno trovato utile questa recensione"
"user found this review helpful","utente ha trovato utile questa recensione"
"Read More","Per saperne di più"
"Your ratings has been accepted for moderation","Il rating è stato accettato per la moderazione"
"You have abused this review!","Avete abusato di questa recensione!"
"Reviewed on","Inviato il"
"Pick color for rating bar","Scegli il colore per la barra di voto"
"Set to zero to show full review title text","Impostare a zero per mostrare la recensione completa del testo del titolo"
"Review of","rassegna di"
"Share with Facebook","Condividi con Facebook"
"Share with Google+","Condividi con Google+"
"Price ","prezzo "
"Value","valore"
"Quality","qualità"
"Rate it now","Votala ora"
"5 Stars","5 Stelle"
"4 Stars","4 Stelle"
"3 Stars","3 Stelle"
"2 Stars","2 Stelle"
"1 Stars","1 Stelle"
" Nickname","Nickname"
"Rate it now.","Votala ora."
"Read %d Review","Leggi il% d Review"
"Read %d Reviews","Leggi% d Recensioni"
"Recent Reviews","recensioni recenti"
"You have already voted this review!","You have already voted this review!"
"* Should not be empty.","* Non deve essere vuoto."
"Something went wrong","Qualcosa è andato storto"
"Why do you want to report this review?","Perché vuoi segnalare questa recensione?"
"Report Review","rapporto di riesame"
"Based on ","sulla base"
"rating","valutazione"
"ratings","valutazioni"
"Review Id","recensione ID"
"%d Review","% d Review"
"Your ratings for this product","Le tue valutazioni per questo prodotto"
"Your ratings for this product is yet to be approved ","Le tue valutazioni per questo prodotto è ancora per essere approvato"
"Thanks for your rating, you rated ","Grazie per il tuo voto, è valutato"
"Thanks for your vote!","Grazie per il tuo voto!"
"Thanks for your vote!","Grazie per il tuo voto!"
"Your review has been deleted! ","Il tuo commento è stato cancellato!"
"Your review would be voted by others","Il tuo commento sarà votato da altri"
" for this product! ","per questo prodotto!"
" % of ","% di"
" user found this review helpful","utente ha trovato utile questa recensione"
" users found this review helpful","utenti hanno trovato utile questa recensione"
"Are you sure you want to delete this review?","Sei sicuro di voler cancellare questa recensione?"
"Thanks for your rating, you rated ","Grazie per il tuo voto, è valutato"
" for this product! ","per questo prodotto!"
"Thanks for your vote!","Grazie per il tuo voto!"
"Your review has been deleted!","Il tuo commento è stato cancellato!"
"Was this review helpful ? ","Questa recensione è stata utile?"
"Back to product page","Torna alla pagina prodotto"
" of %d user found this review helpful"," di %d utente trovato utile questa recensione"
" of %d users found this review helpful"," di %d utenti trovato utile questa recensione"
"Your review would be voted by others","Il tuo commento sarà votato da altri"
"You have already voted this review!","Hai già votato questo commento!"
"* Should not be empty.","* Non deve essere vuoto."
"Reviewed on %s","Inviato il %s"
"Review","Commenta"
"Reviews","recensioni"
"Report Review","rapporto di riesame"
"Thanks for Reporting.","Grazie per la segnalazione."
"Something went wrong","Qualcosa è andato storto"
"Read %d Review","Leggi %d Commenta"